id,intervention,arg_id,cq,cq,label,old_labeling
CL_8,"Doesn’t it worry you at all that you're taking advantage of people when they are really in no position to negotiate?
They have absolutely very little choice except to take the terms that are being offered to them",30811_30808,How does the allegation made affect the reliability of money borrowers?,How does the allegation made affect the reliability of money borrowers?,none,
CL_8,"Doesn’t it worry you at all that you're taking advantage of people when they are really in no position to negotiate?
They have absolutely very little choice except to take the terms that are being offered to them",30811_30808,Is the reliability of money borrowers relevant in the current dialogue?,Is the reliability of money borrowers relevant in the current dialogue?,none,
MT_14,"We have indeed required those products to have very large warnings on them, telling people about their salt and fat content
And we don’t allow them to say things which are misleading
We don’t allow fatty products to say they're healthy
I've got in front of me a letter from a credit card company
There are two figures on this letter which really stand out: 0% per annum new balance transfers, 0% per annum new money transfers
Now, underneath that, in small print, it becomes absolutely clear that you’ll be paying all sorts of charges
And then very, very quickly you’ll be lured into paying a very large charge
Do you think it’s responsible to encourage people to mis-read something like that?
I’ve got all the information there in front of me
Why is that irresponsible?",30899_30903,How strong is the generalisation that if all sort of charges are written in small print then people being lured into paying a very large charge?,How strong is the generalisation that if all sorts of charges are written in small print then people will be lured into paying a very large charge?,edited,
MT_14,"We have indeed required those products to have very large warnings on them, telling people about their salt and fat content
And we don’t allow them to say things which are misleading
We don’t allow fatty products to say they're healthy
I've got in front of me a letter from a credit card company
There are two figures on this letter which really stand out: 0% per annum new balance transfers, 0% per annum new money transfers
Now, underneath that, in small print, it becomes absolutely clear that you’ll be paying all sorts of charges
And then very, very quickly you’ll be lured into paying a very large charge
Do you think it’s responsible to encourage people to mis-read something like that?
I’ve got all the information there in front of me
Why is that irresponsible?",30899_30903,Are there other factors in this particular case that could have interfered with the event of 'people being lured into paying a very large charge'?,Are there other factors in this particular case that could have interfered with the event of 'people being lured into paying a very large charge'?,none,
ND_19,"But how can you say that
when the lenders are actually the banks, that are at the pinnacle of our society?
And indeed the debts that are owed now, by us as a country, even if not individually, are a result of the fact that the banks have got off Scot free
There is absolute impunity for lenders at that level.",32500_32949,Does lenders are being under-rewarded imply banks not being punished for their wrong-doing?,Does lenders are being under-rewarded imply banks not being punished for their wrong-doing?,wrong,
ND_19,"But how can you say that
when the lenders are actually the banks, that are at the pinnacle of our society?
And indeed the debts that are owed now, by us as a country, even if not individually, are a result of the fact that the banks have got off Scot free
There is absolute impunity for lenders at that level.",32500_32949,"Can the practical inconsistency between ND's commitments and ""banks not being punished for their wrong-doing"" be identified? Can it be shown by evidence? Could it be explained by further dialogue?","Can the practical inconsistency between ND's commitments and ""banks not being punished for their wrong-doing"" be identified? Can it be shown by evidence? Could it be explained by further dialogue?",wrong,
ND_19,"But how can you say that
when the lenders are actually the banks, that are at the pinnacle of our society?
And indeed the debts that are owed now, by us as a country, even if not individually, are a result of the fact that the banks have got off Scot free
There is absolute impunity for lenders at that level.",32500_32949,"Does the inconsistency between ND's commitments and ""banks not being punished for their wrong-doing"" result in a decrease of credibility for ND? Does ND's argument depend in its credibility in this context?","Does the inconsistency between ND's commitments and ""banks not being punished for their wrong-doing"" result in a decrease of credibility for ND? Does ND's argument depend in its credibility in this context?",wrong,
MP_22,"Well, you say the banks are the lenders
there are lots of other people who are lenders too
I mean everyone who puts money into a bank, or a building society, is putting it there so that the bank can lend it on
I mean you just heard Simon Rose say
there’s been 100 billion pounds transfer from savers to borrowers
So if you're going to raise your banner for anybody who’s doing badly in this situation, I would have thought you might have raised it for savers, in the first instance",32969_32970,Is Simon Rose a genuine expert in economy?,Is Simon Rose a genuine expert in economy?,none,
MP_22,"Well, you say the banks are the lenders
there are lots of other people who are lenders too
I mean everyone who puts money into a bank, or a building society, is putting it there so that the bank can lend it on
I mean you just heard Simon Rose say
there’s been 100 billion pounds transfer from savers to borrowers
So if you're going to raise your banner for anybody who’s doing badly in this situation, I would have thought you might have raised it for savers, in the first instance",32969_32970,Did Simon Rose really assert that there’s been 100 billion pounds transfer from savers to borrowers?,Did Simon Rose really assert that there’s been 100 billion pounds transfer from savers to borrowers?,none,
MP_22,"Well, you say the banks are the lenders
there are lots of other people who are lenders too
I mean everyone who puts money into a bank, or a building society, is putting it there so that the bank can lend it on
I mean you just heard Simon Rose say
there’s been 100 billion pounds transfer from savers to borrowers
So if you're going to raise your banner for anybody who’s doing badly in this situation, I would have thought you might have raised it for savers, in the first instance",32969_32970,"Is Simon Rose's pronouncement directly quoted? If not, is a reference to the original source given? Can it be checked?","Is Simon Rose's pronouncement directly quoted? If not, is a reference to the original source given? Can it be checked?",none,
MP_22,"Well, you say the banks are the lenders
there are lots of other people who are lenders too
I mean everyone who puts money into a bank, or a building society, is putting it there so that the bank can lend it on
I mean you just heard Simon Rose say
there’s been 100 billion pounds transfer from savers to borrowers
So if you're going to raise your banner for anybody who’s doing badly in this situation, I would have thought you might have raised it for savers, in the first instance",32969_32970,"If Simon Rose's advice is not quoted, does it look like important information or qualifications may have been left out?","If Simon Rose's advice is not quoted, does it look like important information or qualifications may have been left out?",none,
MP_22,"Well, you say the banks are the lenders
there are lots of other people who are lenders too
I mean everyone who puts money into a bank, or a building society, is putting it there so that the bank can lend it on
I mean you just heard Simon Rose say
there’s been 100 billion pounds transfer from savers to borrowers
So if you're going to raise your banner for anybody who’s doing badly in this situation, I would have thought you might have raised it for savers, in the first instance",32969_32970,Is what Simon Rose said clear? Are there technical terms used that are not explained clearly?,Is what Simon Rose said clear? Are there technical terms used that are not explained clearly?,none,
MP_22,"Well, you say the banks are the lenders
there are lots of other people who are lenders too
I mean everyone who puts money into a bank, or a building society, is putting it there so that the bank can lend it on
I mean you just heard Simon Rose say
there’s been 100 billion pounds transfer from savers to borrowers
So if you're going to raise your banner for anybody who’s doing badly in this situation, I would have thought you might have raised it for savers, in the first instance",32969_32970,Is there’s been 100 billion pounds transfer from savers to borrowers relevant to domain economy?,Is the fact that 100 billion pounds have been transfered from savers to borrowers relevant to domain economy?,edited,
MP_22,"Well, you say the banks are the lenders
there are lots of other people who are lenders too
I mean everyone who puts money into a bank, or a building society, is putting it there so that the bank can lend it on
I mean you just heard Simon Rose say
there’s been 100 billion pounds transfer from savers to borrowers
So if you're going to raise your banner for anybody who’s doing badly in this situation, I would have thought you might have raised it for savers, in the first instance",32969_32970,Is there’s been 100 billion pounds transfer from savers to borrowers consistent with what other experts in economy say?,Is the fact that there have been 100 billion pounds transfered from savers to borrowers consistent with what other experts in economy say?,edited,
MP_22,"Well, you say the banks are the lenders
there are lots of other people who are lenders too
I mean everyone who puts money into a bank, or a building society, is putting it there so that the bank can lend it on
I mean you just heard Simon Rose say
there’s been 100 billion pounds transfer from savers to borrowers
So if you're going to raise your banner for anybody who’s doing badly in this situation, I would have thought you might have raised it for savers, in the first instance",32969_32970,Is there’s been 100 billion pounds transfer from savers to borrowers consistent with known evidence in economy?,Is the fact that there have been 100 billion pounds transfered from savers to borrowers consistent with known evidence in economy?,edited,
ND_23," I think in the current situation that both savers and borrowers, if you're talking about individual people, are doing extremely badly
many people are unable to make ends meet and are having to take debt out at huge levels of interest
On the other hand, savers are earning nothing in interest
And what this needs is not simply us putting moral blame on one side or the other
but actually putting moral blame on a set of economic policies and political decisions that have led to credit liberalisation.",33026_33029,Are there other relevant goals that conflict with not putting moral blame on one side or the other?,Are there other relevant goals that conflict with not putting moral blame on one side or the other?,none,
ND_23," I think in the current situation that both savers and borrowers, if you're talking about individual people, are doing extremely badly
many people are unable to make ends meet and are having to take debt out at huge levels of interest
On the other hand, savers are earning nothing in interest
And what this needs is not simply us putting moral blame on one side or the other
but actually putting moral blame on a set of economic policies and political decisions that have led to credit liberalisation.",33026_33029,"Are there alternative actions to realizing that in the current situation, both savers and borrowers are doing extremely badly to achieve not putting moral blame on one side or the other? If so, which is the most efficient action?","Are there alternative actions to realizing that, in the current situation, both savers and borrowers are doing extremely badly to achieve the goal of not putting moral blame on one side or the other? If so, which is the most efficient action?",edited,
ND_23," I think in the current situation that both savers and borrowers, if you're talking about individual people, are doing extremely badly
many people are unable to make ends meet and are having to take debt out at huge levels of interest
On the other hand, savers are earning nothing in interest
And what this needs is not simply us putting moral blame on one side or the other
but actually putting moral blame on a set of economic policies and political decisions that have led to credit liberalisation.",33026_33029,"Could realizing that in the current situation, both savers and borrowers are doing extremely badly have consequences that we should take into account? Is it practically possible?","Could realizing that, in the current situation, both savers and borrowers are doing extremely badly have consequences that we should take into account? Is it practically possible?",edited,
MP_24,"But why are borrowers doing badly?
I mean on the one hand interest rates are being kept really low, in order that borrowers won’t bear the consequences of their foolish borrowing
And then again, not many people have been driven out of the houses on which they can’t afford to maintain their payments
the banks are so terrified that if they crystallise the debts their balance sheets will be insupportable
actually, people have run up lots of debt, are paying very low rates of interest, and they’re able to continue to live in houses that they can’t afford to pay for",33052_33051,"If banks crystalise the debts, will their balance sheets will be insupportable occur? What evidence supports this claim? How likely are the consequences?","If banks crystalise the debts, will their balance sheets be insupportable? What evidence supports this claim? How likely are the consequences?",edited,
MP_24,"But why are borrowers doing badly?
I mean on the one hand interest rates are being kept really low, in order that borrowers won’t bear the consequences of their foolish borrowing
And then again, not many people have been driven out of the houses on which they can’t afford to maintain their payments
the banks are so terrified that if they crystallise the debts their balance sheets will be insupportable
actually, people have run up lots of debt, are paying very low rates of interest, and they’re able to continue to live in houses that they can’t afford to pay for",33052_33051,What other consequences should also be taken into account if not banks crystalise the debts?,What other consequences should also be taken into account if banks do not crystalise the debts?,edited,
CF_29,"Yes, but what I'm saying is we shouldn’t encourage it for ourselves either
That’s my point.
And then finally, if I could just ask you, there’s a danger I think when you kind of say, “The poor are the ones who suffer. The rich are the bad guys.”
It is the case that some of the greatest examples of social progress over the years have come from well-off rich people, banks and so on, investing productively
Isn’t the problem that the only thing the banks have done is kind of consumer credit?
What they should have been doing, what they could be doing, and what they haven’t got the nerve to do, is not loaning enough
They should actually be taking more risk and giving more money out",33364_33366,Are there other relevant goals that conflict with making banks invest productively?,Are there other relevant goals that conflict with making banks invest productively?,none,
CF_29,"Yes, but what I'm saying is we shouldn’t encourage it for ourselves either
That’s my point.
And then finally, if I could just ask you, there’s a danger I think when you kind of say, “The poor are the ones who suffer. The rich are the bad guys.”
It is the case that some of the greatest examples of social progress over the years have come from well-off rich people, banks and so on, investing productively
Isn’t the problem that the only thing the banks have done is kind of consumer credit?
What they should have been doing, what they could be doing, and what they haven’t got the nerve to do, is not loaning enough
They should actually be taking more risk and giving more money out",33364_33366,"Are there alternative actions to making banks take more risk and give more money out to achieve making banks invest productively? If so, which is the most efficient action?","Are there alternative actions to making banks take more risk and give more money out to achieve making banks invest productively? If so, which is the most efficient action?",none,
CF_29,"Yes, but what I'm saying is we shouldn’t encourage it for ourselves either
That’s my point.
And then finally, if I could just ask you, there’s a danger I think when you kind of say, “The poor are the ones who suffer. The rich are the bad guys.”
It is the case that some of the greatest examples of social progress over the years have come from well-off rich people, banks and so on, investing productively
Isn’t the problem that the only thing the banks have done is kind of consumer credit?
What they should have been doing, what they could be doing, and what they haven’t got the nerve to do, is not loaning enough
They should actually be taking more risk and giving more money out",33364_33366,Could making banks take more risk and give more money out have consequences that we should take into account? Is it practically possible?,Could making banks take more risk and give more money out have consequences that we should take into account? Is it practically possible?,none,
CF_32,"For productive investments
So therefore stop attacking them and actually suggest that we want the rich to do something productive",33445_33446,Are there other relevant goals that conflict with the rich doing something productive?,Are there other relevant goals that conflict with the rich doing productive investments?,edited,
CF_32,"For productive investments
So therefore stop attacking them and actually suggest that we want the rich to do something productive",33445_33446,"Are there alternative actions to stop attacking them to achieve the rich doing something productive? If so, which is the most efficient action?","Are there alternative actions to stop attacking them to achieve that the rich do productive investments? If so, which is the most efficient action?",edited,
CF_32,"For productive investments
So therefore stop attacking them and actually suggest that we want the rich to do something productive",33445_33446,Could stop attacking them have consequences that we should take into account? Is it practically possible?,Could stop attacking the rich have consequences that we should take into account? Is it practically possible?,edited,
JW_35,"JW has got a rather nuanced view, that the way they're mis-used can have morally damaging consequences
Well, debt is morally neutral in the sense that it can be good to be in debt
 Sometimes it’s a good idea, and sometimes it’s a bad idea
And so I think there’s been broad agreement about that in the discussion so far
The question is why is there too much debt?
 Why are people taking on too much debt?
 this one is the elaboration of the previous question Now,
a lot of people come up with rather glib moral answers: somehow bankers want them to get into excessive debt
 which is a very peculiar idea, when you think that it’s the bankers who aren’t going to get repaid. So it’s a very odd idea
there’s too much debt for the same reason that there are too many unmarried mothers, and for the same reason that you get an overproduction of sheep.",33497_33495,What evidence supports that debt is morally neutral in the sense that it can be good to be in debt is generally accepted as true?,What evidence supports that it is generally accepted that debt is morally neutral in the sense that it can be good to be in debt?,edited,
JW_35,"JW has got a rather nuanced view, that the way they're mis-used can have morally damaging consequences
Well, debt is morally neutral in the sense that it can be good to be in debt
 Sometimes it’s a good idea, and sometimes it’s a bad idea
And so I think there’s been broad agreement about that in the discussion so far
The question is why is there too much debt?
 Why are people taking on too much debt?
 this one is the elaboration of the previous question Now,
a lot of people come up with rather glib moral answers: somehow bankers want them to get into excessive debt
 which is a very peculiar idea, when you think that it’s the bankers who aren’t going to get repaid. So it’s a very odd idea
there’s too much debt for the same reason that there are too many unmarried mothers, and for the same reason that you get an overproduction of sheep.",33497_33495,"Even if debt is morally neutral in the sense that it can be good to be in debt is generally accepted as true, are there any good reasons for doubting that it is true?","Even if debt is morally neutral in the sense that it can be good to be in debt is generally accepted as true, are there any good reasons for doubting that it is true?",none,
MT_40,"I don’t think you just said the opposite of them was neutral
So if they're virtues, doesn’t that imply that the opposite of thrift and prudence is immoral?
But, hold on
Isn’t it simply the case that buying a cup of coffee is something which is substantially less demanding than working up a long-term interest rate?
Therefore isn’t it a reasonable thing for the state to intervene in those cases
because the knowledge is bounded?",33827_33820,Are there other relevant goals that conflict with protecting people who does not have enough knowledge to work up how their loan should be?,Are there other relevant goals that conflict with protecting people who does not have enough knowledge to work up how their loan should be?,none,
MT_40,"I don’t think you just said the opposite of them was neutral
So if they're virtues, doesn’t that imply that the opposite of thrift and prudence is immoral?
But, hold on
Isn’t it simply the case that buying a cup of coffee is something which is substantially less demanding than working up a long-term interest rate?
Therefore isn’t it a reasonable thing for the state to intervene in those cases
because the knowledge is bounded?",33827_33820,"Are there alternative actions to the state intervening to achieve protecting people who does not have enough knowledge to work up how their loan should be? If so, which is the most efficient action?","Are there alternative actions to the state intervening to achieve the goal of protecting people who does not have enough knowledge to work up how their loan should be? If so, which is the most efficient action?",edited,
MT_40,"I don’t think you just said the opposite of them was neutral
So if they're virtues, doesn’t that imply that the opposite of thrift and prudence is immoral?
But, hold on
Isn’t it simply the case that buying a cup of coffee is something which is substantially less demanding than working up a long-term interest rate?
Therefore isn’t it a reasonable thing for the state to intervene in those cases
because the knowledge is bounded?",33827_33820,Could the state intervening have consequences that we should take into account? Is it practically possible?,Could the state intervening have consequences that we should take into account? Is it practically possible?,none,
MT_40,"I don’t think you just said the opposite of them was neutral
So if they're virtues, doesn’t that imply that the opposite of thrift and prudence is immoral?
But, hold on
Isn’t it simply the case that buying a cup of coffee is something which is substantially less demanding than working up a long-term interest rate?
Therefore isn’t it a reasonable thing for the state to intervene in those cases
because the knowledge is bounded?",33819_33820,Are there other relevant goals that conflict with preventing people to mess up when working up a long-term interest rate?,Are there other relevant goals that conflict with preventing people to mess up when working up a long-term interest rate?,none,
MT_40,"I don’t think you just said the opposite of them was neutral
So if they're virtues, doesn’t that imply that the opposite of thrift and prudence is immoral?
But, hold on
Isn’t it simply the case that buying a cup of coffee is something which is substantially less demanding than working up a long-term interest rate?
Therefore isn’t it a reasonable thing for the state to intervene in those cases
because the knowledge is bounded?",33819_33820,"Are there alternative actions to the state intervene in those cases to achieve preventing people to mess up when working up a long-term interest rate? If so, which is the most efficient action?","Are there alternative actions to the state intervene in those cases to achieve the goal of preventing people to mess up when working up a long-term interest rate? If so, which is the most efficient action?",edited,
MT_40,"I don’t think you just said the opposite of them was neutral
So if they're virtues, doesn’t that imply that the opposite of thrift and prudence is immoral?
But, hold on
Isn’t it simply the case that buying a cup of coffee is something which is substantially less demanding than working up a long-term interest rate?
Therefore isn’t it a reasonable thing for the state to intervene in those cases
because the knowledge is bounded?",33819_33820,Could the state intervene in those cases have consequences that we should take into account? Is it practically possible?,Could the intervention of the state in those cases have consequences that we should take into account? Is it practically possible?,edited,
MT_45,"Claire’s absolutely right about that
But then the problem is that that form of capitalism wasn’t generating sufficient surpluses
And so therefore where did the money flow
It didn’t flow into those industrial activities
 because in the developed world that wasn’t making enough money",33897_33896,How strong is the generalisation that if that form of capitalism was not making enough money in the developed world then the money did not flow into those industrial activities?,How strong is the generalisation that if a form of capitalism is not generating enough surpluses then the money will not flow into industrial activities?,edited,
MT_45,"Claire’s absolutely right about that
But then the problem is that that form of capitalism wasn’t generating sufficient surpluses
And so therefore where did the money flow
It didn’t flow into those industrial activities
 because in the developed world that wasn’t making enough money",33897_33896,Are there other factors in this particular case that could have interfered with the event of 'the money did not flow into those industrial activities'?,Are there other factors in this particular case that could have interfered with the event of 'the money not flowing into industrial activities'?,edited,
MT_45,"Claire’s absolutely right about that
But then the problem is that that form of capitalism wasn’t generating sufficient surpluses
And so therefore where did the money flow
It didn’t flow into those industrial activities
 because in the developed world that wasn’t making enough money",33894_33896,How strong is the generalisation that if that form of capitalism wasn't generating sufficient surpluses then the money did not flow into industrial activities?,How strong is the generalisation that if a form of capitalism is not generating enough surpluses then the money will not flow into industrial activities?,edited,
MT_45,"Claire’s absolutely right about that
But then the problem is that that form of capitalism wasn’t generating sufficient surpluses
And so therefore where did the money flow
It didn’t flow into those industrial activities
 because in the developed world that wasn’t making enough money",33894_33896,Are there other factors in this particular case that could have interfered with the event of 'the money did not flow into industrial activities'?,Are there other factors in this particular case that could have interfered with the event of 'the money not flowing into industrial activities'?,edited,
CF_46,"Yes, but I'm suggesting that that was a political strategy, a way of covering things up
All I'm saying is that I think the people who took the sub-prime mortgages were the beneficiaries – and now the sufferers – of what I was saying is a policy
When you think about it now, I actually find it frustrating when I'm trying to talk to people about the real state the economy is in
And people sort of assume like everything can just carry on, and all that you need is a kind of credit based consumer thing
“Well, do we have to have cuts? Do we have to have this? Do we have to have that?”
And you do actually want to say, “Money doesn’t grow on trees.”",33943_33947,How strong is the generalisation that if people took the sub-primer mortgages then they were the beneficiaries (and now the sufferers) of a policy?,How strong is the generalisation that if people have taken the sub-primer mortgages then they were the beneficiaries (and now the sufferers) of this policy?,edited,
CF_46,"Yes, but I'm suggesting that that was a political strategy, a way of covering things up
All I'm saying is that I think the people who took the sub-prime mortgages were the beneficiaries – and now the sufferers – of what I was saying is a policy
When you think about it now, I actually find it frustrating when I'm trying to talk to people about the real state the economy is in
And people sort of assume like everything can just carry on, and all that you need is a kind of credit based consumer thing
“Well, do we have to have cuts? Do we have to have this? Do we have to have that?”
And you do actually want to say, “Money doesn’t grow on trees.”",33943_33947,Are there other factors in this particular case that could have interfered with the event of 'they were the beneficiaries (and now the sufferers) of a policy'?,Are there other factors in this particular case that could have interfered with the event of 'they were the beneficiaries (and now the sufferers) of the policy'?,edited,
MP_48,"	I think it’s very interesting that capitalism is coming under such a lot of attack here
And I don’t say that’s inappropriate
But we haven’t yet attacked democracy
I mean one of the things that strikes me about this is that when you have incumbent governments, and they see that consumer credit boom mushrooming and mushrooming, what do they do?
They don’t want to stop it
They don’t want to stop it, because they want voters.
They want voters who feel artificially rich
because voters who feel artificially rich will probably vote for the incumbent",33985_33984,How strong is the generalisation that if they want voters then they don't want to stop the consumer credit?,"How strong is the generalisation that, since the governments want voters, they don't want to stop the consumer credit?",edited,
MP_48,"	I think it’s very interesting that capitalism is coming under such a lot of attack here
And I don’t say that’s inappropriate
But we haven’t yet attacked democracy
I mean one of the things that strikes me about this is that when you have incumbent governments, and they see that consumer credit boom mushrooming and mushrooming, what do they do?
They don’t want to stop it
They don’t want to stop it, because they want voters.
They want voters who feel artificially rich
because voters who feel artificially rich will probably vote for the incumbent",33985_33984,Are there other factors in this particular case that could have interfered with the event of 'they don't want to stop the consumer credit'?,Are there other factors in this particular case that could have interfered with the event of 'the governments don't want to stop the consumer credit'?,edited,
MP_48,"	I think it’s very interesting that capitalism is coming under such a lot of attack here
And I don’t say that’s inappropriate
But we haven’t yet attacked democracy
I mean one of the things that strikes me about this is that when you have incumbent governments, and they see that consumer credit boom mushrooming and mushrooming, what do they do?
They don’t want to stop it
They don’t want to stop it, because they want voters.
They want voters who feel artificially rich
because voters who feel artificially rich will probably vote for the incumbent",33987_33986,How strong is the generalisation that if voters feel artificially rich then voters will probably vote for the incumbent?,How strong is the generalisation that if voters feel artificially rich then voters will probably vote for the incumbent government?,edited,
MP_48,"	I think it’s very interesting that capitalism is coming under such a lot of attack here
And I don’t say that’s inappropriate
But we haven’t yet attacked democracy
I mean one of the things that strikes me about this is that when you have incumbent governments, and they see that consumer credit boom mushrooming and mushrooming, what do they do?
They don’t want to stop it
They don’t want to stop it, because they want voters.
They want voters who feel artificially rich
because voters who feel artificially rich will probably vote for the incumbent",33987_33986,Are there other factors in this particular case that could have interfered with the event of 'voters will probably vote for the incumbent'?,Are there other factors in this particular case that could have interfered with the event of 'voters will probably vote for the incumbent government'?,edited,
MP_48,"	I think it’s very interesting that capitalism is coming under such a lot of attack here
And I don’t say that’s inappropriate
But we haven’t yet attacked democracy
I mean one of the things that strikes me about this is that when you have incumbent governments, and they see that consumer credit boom mushrooming and mushrooming, what do they do?
They don’t want to stop it
They don’t want to stop it, because they want voters.
They want voters who feel artificially rich
because voters who feel artificially rich will probably vote for the incumbent",33986_33984,How strong is the generalisation that if they don't want to stop the incumbent then they want voters who feel artificially rich?,"How strong is the generalisation that if the government don't want people to stop voting them, then they want voters who feel artificially rich?",edited,
MP_48,"	I think it’s very interesting that capitalism is coming under such a lot of attack here
And I don’t say that’s inappropriate
But we haven’t yet attacked democracy
I mean one of the things that strikes me about this is that when you have incumbent governments, and they see that consumer credit boom mushrooming and mushrooming, what do they do?
They don’t want to stop it
They don’t want to stop it, because they want voters.
They want voters who feel artificially rich
because voters who feel artificially rich will probably vote for the incumbent",33986_33984,Are there other factors in this particular case that could have interfered with the event of 'they want voters who feel artificially rich'?,Are there other factors in this particular case that could have interfered with the event of 'they want voters who feel artificially rich'?,none,
